account_name,pe_firm_count,pe_firms,pe_firm_ids,any_multi_sector_sponsor,any_current,website,sources,company_url,wikipedia_url
MW Industries,1,Genstar Capital,genstar-capital,yes,yes,,official_site,,
MyComplianceOffice,1,Accel-KKR,accel-kkr,no,yes,https://mco.mycomplianceoffice.com,official_site,https://www.accel-kkr.com/portfolio-company/mycomplianceoffice/,
N-Able,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/n-able/,
Nasdaq,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/nasdaq/,
Nasdaq Stock Market,1,Hellman & Friedman,hellman-friedman,no,yes,,official_site,https://hf.com/portfolio/nasdaq-stock-market-llc/,
Nasuni,1,Vista Equity Partners,vista-equity,no,yes,,official_site,https://www.vistaequitypartners.com/company/nasuni/,
NAVEX,1,Vista Equity Partners,vista-equity,no,yes,,official_site,https://www.vistaequitypartners.com/company/navex/,
Naviga,1,Vista Equity Partners,vista-equity,no,yes,,official_site,https://www.vistaequitypartners.com/company/naviga/,
NAVTOR,1,Accel-KKR,accel-kkr,no,yes,https://www.navtor.com,official_site,https://www.accel-kkr.com/portfolio-company/navtor/,
Nets A/S,1,Hellman & Friedman,hellman-friedman,no,yes,,official_site,https://hf.com/portfolio/nets-a-s/,
Netsmart Technologies,1,Genstar Capital,genstar-capital,yes,yes,,official_site,,
Network General / NetScout,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/network-general-netscout/,
New Zealand Rugby,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/new-zealand-rugby/,
Nexi,1,Hellman & Friedman,hellman-friedman,no,yes,,official_site,https://hf.com/portfolio/nexi/,
Nexthink,1,Vista Equity Partners,vista-equity,no,yes,,official_site,https://www.vistaequitypartners.com/company/nexthink/,
Nielsen N.V.,1,Hellman & Friedman,hellman-friedman,no,yes,,official_site,https://hf.com/portfolio/nielsen-n-v/,
Nobao Renewable Energy,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/nobao-renewable-energy/,
Node4,1,Providence Equity Partners,providence-equity,yes,yes,,official_site,,
Noom,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/noom/,
NortonLifeLock,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/nortonlifelock/,
NovoPath,1,Accel-KKR,accel-kkr,no,yes,https://lltrck.com,official_site,https://www.accel-kkr.com/portfolio-company/novopath/,
Ntracts,1,Accel-KKR,accel-kkr,no,yes,https://www.ntracts.com,official_site,https://www.accel-kkr.com/portfolio-company/ntracts/,
Numerator,1,Vista Equity Partners,vista-equity,no,yes,,official_site,https://www.vistaequitypartners.com/company/numerator/,
Numerix,1,Genstar Capital,genstar-capital,yes,yes,,official_site,,
Nutrislice,1,Accel-KKR,accel-kkr,no,yes,https://lltrck.com,official_site,https://www.accel-kkr.com/portfolio-company/nutrislice/,
NXP,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/nxp/,
Oak View Group,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/oak-view-group/,
Obsidian,1,Genstar Capital,genstar-capital,yes,yes,,official_site,,
Ocuco,1,Accel-KKR,accel-kkr,no,yes,https://lltrck.com,official_site,https://www.accel-kkr.com/portfolio-company/ocuco/,
OEConnection,1,Genstar Capital,genstar-capital,yes,yes,,official_site,,
Office Timeline,1,Accel-KKR,accel-kkr,no,yes,https://www.officetimeline.com,official_site,https://www.accel-kkr.com/portfolio-company/office-timeline/,
OfficeSpace,1,Vista Equity Partners,vista-equity,no,yes,,official_site,https://www.vistaequitypartners.com/company/officespace/,
Olive.AI,1,Vista Equity Partners,vista-equity,no,yes,,official_site,https://www.vistaequitypartners.com/company/olive-ai/,
Omio,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/omio/,
OneAdvanced,1,Vista Equity Partners,vista-equity,no,yes,,official_site,https://www.vistaequitypartners.com/company/oneadvanced/,
OneShield,1,Accel-KKR,accel-kkr,no,yes,https://oneshield.com,official_site,https://www.accel-kkr.com/portfolio-company/oneshield/,
OpenLink International Holdings,1,Hellman & Friedman,hellman-friedman,no,yes,,official_site,https://hf.com/portfolio/openlink-international-holdings-inc/,
Opera Solutions,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/opera-solutions/,
Orion Advisor Solutions,1,Genstar Capital,genstar-capital,yes,yes,,official_site,,
OrthoFi,1,Accel-KKR,accel-kkr,no,yes,https://orthofi.com,official_site,https://www.accel-kkr.com/portfolio-company/orthofi/,
OTC Industrial Technologies,1,Genstar Capital,genstar-capital,yes,yes,,official_site,,
Outfront Media,1,Providence Equity Partners,providence-equity,yes,yes,,official_site,,
Outspoken,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/outspoken/,
P2 Energy Solutions,1,Vista Equity Partners,vista-equity,no,yes,,official_site|wikipedia,https://www.vistaequitypartners.com/company/p2-energy-solutions/,https://en.wikipedia.org/wiki/P2_Energy_Solutions
Pacera,1,Accel-KKR,accel-kkr,no,yes,https://pacera.com,official_site,https://www.accel-kkr.com/portfolio-company/pacera/,
Palomar Specialty Insurance,1,Genstar Capital,genstar-capital,yes,yes,,official_site,,
PARIS RE Holdings Limited,1,Hellman & Friedman,hellman-friedman,no,yes,,official_site,https://hf.com/portfolio/paris-re-holdings-limited/,
Partnerize,1,Accel-KKR,accel-kkr,no,yes,https://partnerize.com/en,official_site,https://www.accel-kkr.com/portfolio-company/partnerize/,
Paymentus (NYSE: PAY),1,Accel-KKR,accel-kkr,no,yes,https://www.paymentus.com,official_site,https://www.accel-kkr.com/portfolio-company/paymentus/,
PDI,1,Genstar Capital,genstar-capital,yes,yes,,official_site,,
Peloton,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/peloton/,
Pharmaceutical Product Development,1,Hellman & Friedman,hellman-friedman,no,yes,,official_site,https://hf.com/portfolio/pharmaceutical-product-development-llc/,
Phocas Software,1,Accel-KKR,accel-kkr,no,yes,https://lltrck.com,official_site,https://www.accel-kkr.com/portfolio-company/phocas-software/,
Ping Identity,1,Vista Equity Partners,vista-equity,no,yes,,official_site|wikipedia,https://www.vistaequitypartners.com/company/ping-identity/,https://en.wikipedia.org/wiki/Ping_Identity
Pipedrive,1,Vista Equity Partners,vista-equity,no,yes,,official_site|wikipedia,https://www.vistaequitypartners.com/company/pipedrive/,https://en.wikipedia.org/wiki/Pipedrive
Plaid,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/plaid/,
PlanSource,1,Vista Equity Partners,vista-equity,no,yes,,official_site,https://www.vistaequitypartners.com/company/plansource/,
Playlist,1,Vista Equity Partners,vista-equity,no,yes,,official_site,https://www.vistaequitypartners.com/company/playlist/,
PlayMetrics,1,Genstar Capital,genstar-capital,yes,yes,,official_site,,
