account_name,pe_firm_count,pe_firms,pe_firm_ids,any_multi_sector_sponsor,sources,company_url,wikipedia_url
Redprairie,1,Francisco Partners,francisco-partners,no,official_site,https://www.franciscopartners.com/investments/redprairie,
Redsail Technologies,1,Francisco Partners,francisco-partners,no,official_site,https://www.franciscopartners.com/investments/redsail-technologies,
Redwood,1,Warburg Pincus,warburg-pincus,yes,official_site,https://warburgpincus.com/investments/redwood/,
Redwood Software,1,Vista Equity Partners,vista-equity,no,official_site,https://www.vistaequitypartners.com/company/redwood-software/,
REG Technologies,1,Accel-KKR,accel-kkr,no,official_site,,
Regulatory DataCorp,1,Vista Equity Partners,vista-equity,no,official_site,https://www.vistaequitypartners.com/company/rdc/,
Reiss (brand),1,Warburg Pincus,warburg-pincus,yes,wikipedia,https://en.wikipedia.org/wiki/Reiss_%28brand%29,https://en.wikipedia.org/wiki/Reiss_%28brand%29
Relativity,1,Silver Lake,silver-lake,no,official_site,https://www.silverlake.com/portfolio/relativity/,
Relay,1,Hg,hg,no,official_site,,
Relias Learning,1,Vista Equity Partners,vista-equity,no,official_site,https://www.vistaequitypartners.com/company/relias-learning-llc/,
Renaissance,1,Francisco Partners,francisco-partners,no,official_site,https://www.franciscopartners.com/investments/renaissance,
Renovate America,1,Silver Lake,silver-lake,no,official_site,https://www.silverlake.com/portfolio/renovate-america/,
Rent Group,1,KKR,kkr,yes,wikipedia,https://en.wikipedia.org/wiki/Rent_Group,https://en.wikipedia.org/wiki/Rent_Group
RentPath,1,Providence Equity Partners,providence-equity,yes,geig_article,,
Residex,1,Accel-KKR,accel-kkr,no,official_site,,
Resilinc,1,Vista Equity Partners,vista-equity,no,official_site,https://www.vistaequitypartners.com/company/resilinc/,
Return Path,1,Vista Equity Partners,vista-equity,no,official_site,https://www.vistaequitypartners.com/company/return-path/,
Revalize,1,Hg,hg,no,official_site,,
Revel Systems,1,"Welsh, Carson, Anderson & Stowe",wcas,yes,official_site,,
