account_name,pe_firm,pe_firm_id,pe_hq_city,pe_hq_region,pe_list_role,pe_multi_sector,investment_status,description,region,strategy,website,sources,source_urls,company_url,wikipedia_url,firm_portfolio_url
Masan Group,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Masan_Group,https://en.wikipedia.org/wiki/Masan_Group,https://en.wikipedia.org/wiki/Masan_Group,https://www.kkr.com/
Max Healthcare,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Max_Healthcare,https://en.wikipedia.org/wiki/Max_Healthcare,https://en.wikipedia.org/wiki/Max_Healthcare,https://www.kkr.com/
Maxeda,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Maxeda,https://en.wikipedia.org/wiki/Maxeda,https://en.wikipedia.org/wiki/Maxeda,https://www.kkr.com/
Mehiläinen,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Mehil%C3%A4inen,https://en.wikipedia.org/wiki/Mehil%C3%A4inen,https://en.wikipedia.org/wiki/Mehil%C3%A4inen,https://www.kkr.com/
Metabo,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Metabo,https://en.wikipedia.org/wiki/Metabo,https://en.wikipedia.org/wiki/Metabo,https://www.kkr.com/
Metropolis Healthcare,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Metropolis_Healthcare,https://en.wikipedia.org/wiki/Metropolis_Healthcare,https://en.wikipedia.org/wiki/Metropolis_Healthcare,https://www.kkr.com/
Mi Pueblo Food Center,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Mi_Pueblo_Food_Center,https://en.wikipedia.org/wiki/Mi_Pueblo_Food_Center,https://en.wikipedia.org/wiki/Mi_Pueblo_Food_Center,https://www.kkr.com/
Modern Dairy,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Modern_Dairy,https://en.wikipedia.org/wiki/Modern_Dairy,https://en.wikipedia.org/wiki/Modern_Dairy,https://www.kkr.com/
MTU Aero Engines,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/MTU_Aero_Engines,https://en.wikipedia.org/wiki/MTU_Aero_Engines,https://en.wikipedia.org/wiki/MTU_Aero_Engines,https://www.kkr.com/
MYOB (company),KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/MYOB_%28company%29,https://en.wikipedia.org/wiki/MYOB_%28company%29,https://en.wikipedia.org/wiki/MYOB_%28company%29,https://www.kkr.com/
NEC Software Solutions,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/NEC_Software_Solutions,https://en.wikipedia.org/wiki/NEC_Software_Solutions,https://en.wikipedia.org/wiki/NEC_Software_Solutions,https://www.kkr.com/
